concessionaria,praca_de_pedagio,rodovia,uf,municipio,localizacao,velocidadeAtual,velocidadeLivre,confiabilidade,coordenadas_inicial,coordenadas_final,dataHora,isFeriado
MSVIA,P3-Caarapó,BR-163,MS,Caarapó,"-22.476042,-54.860799",78,83,0.770807,"{'latitude': -22.645080625199814, 'longitude': -54.81282954914795}","{'latitude': -22.458114621505878, 'longitude': -54.84287565453977}",2024-10-21_09-47-32,0
MSVIA,P4-Rio Brilhante,BR-163,MS,Rio Brilhante,"-21.865146,-54.528504",100,100,1.0,"{'latitude': -22.062579954562356, 'longitude': -54.558310712352}","{'latitude': -21.84300090328835, 'longitude': -54.53752895689976}",2024-10-21_09-47-34,0
MSVIA,P5-Campo Grande,BR-163,MS,Campo Grande,"-20.882783,-54.504644",95,95,1.0,"{'latitude': -20.78511887362943, 'longitude': -54.52316975093521}","{'latitude': -20.9880789615129, 'longitude': -54.5063147494817}",2024-10-21_09-47-35,0
MSVIA,P6-Jaraguari,BR-163,MS,Jaraguari,"-20.040000,-54.410000",90,90,1.0,"{'latitude': -20.06926281203899, 'longitude': -54.425379092438476}","{'latitude': -20.02746862029638, 'longitude': -54.40682759378264}",2024-10-21_09-47-37,0
MSVIA,P7-São Gabriel,BR-163,MS,São Gabriel do Oeste,"-19.473376,-54.496991",111,111,1.0,"{'latitude': -19.44617492215698, 'longitude': -54.52605849004492}","{'latitude': -19.556031459474426, 'longitude': -54.429135526164686}",2024-10-21_09-47-38,0
MSVIA,P8-Rio Verde,BR-163,MS,Rio Verde de Mato Grosso,"-18.722782,-54.814951",93,93,1.0,"{'latitude': -18.917536975416997, 'longitude': -54.83821263416628}","{'latitude': -18.70702113023605, 'longitude': -54.81563916309169}",2024-10-21_09-47-39,0
MSVIA,P9-Sonora,BR-163,MS,Sonora,"-17.766671,-54.750815",99,99,1.0,"{'latitude': -17.72439924479627, 'longitude': -54.75592380267473}","{'latitude': -17.97468690645524, 'longitude': -54.67826982836199}",2024-10-21_09-47-40,0
RIOSP,Free Flow Itaguaí,BR-101,RJ,Itaguaí,"-22.910000,-43.890000",73,73,1.0,"{'latitude': -22.938432476142236, 'longitude': -44.0381987914532}","{'latitude': -22.883087829679603, 'longitude': -43.82869144525114}",2024-10-21_09-47-42,0
RIOSP,Free Flow Paraty,BR-101,RJ,Paraty,"-23.050000,-44.580000",78,78,1.0,"{'latitude': -23.02087955846166, 'longitude': -44.53486745817003}","{'latitude': -23.066609944279325, 'longitude': -44.68941500053958}",2024-10-21_09-47-43,0
RIOSP,Free Flow Mangaratiba,BR-101,RJ,Mangaratiba,"-23.006320,-44.099135",74,74,1.0,"{'latitude': -22.93727514693089, 'longitude': -44.046248100708766}","{'latitude': -23.033764903011345, 'longitude': -44.143644474480226}",2024-10-21_09-47-45,0
